,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
105,Q3,Petrol,1.4L,Automatic,"30,918 miles",5.0,148 bhp,2017 (67),47.9,Estate,136 g/km,BLACK,"£21,900"
106,A3,Petrol,1.5L,Automatic,"26,811 miles",5.0,148 bhp,2018 (67),56.5,Hatchback,114 g/km,GREY,"£21,800"
107,A3,Petrol,1.5L,Automatic,"29,566 miles",5.0,148 bhp,2017 (17),56.5,Hatchback,114 g/km,TANGO RED,"£21,600"
108,A5,Diesel,2.0L,Automatic,"44,630 miles",2.0,188 bhp,2017 (67),62.8,Coupe,118 g/km,BLACK,"£21,600"
109,A3,Petrol,1.5L,Automatic,"27,670 miles",4.0,148 bhp,2017 (67),56.5,Saloon,113 g/km,GREY,"£21,600"
110,TT,Petrol,2.0L,Automatic,"20,330 miles",2.0,227 bhp,2015 (15),44.1,Coupe,149 g/km,WHITE,"£21,550"
111,Q3,Petrol,1.4L,Automatic,"36,182 miles",5.0,148 bhp,2017 (17),47.9,Estate,138 g/km,SILVER,"£21,500"
112,A4,Petrol,1.4L,Manual,"23,072 miles",4.0,148 bhp,2018 (68),51.4,Saloon,131 g/km,DAYTONA GREY,"£21,500"
113,Q5,Diesel,2.0L,Manual,"44,288 miles",5.0,187 bhp,2016 (66),47.9,Estate,153 g/km,SCUBA BLUE,"£21,500"
114,A5,Diesel,2.0L,Automatic,"36,123 miles",2.0,188 bhp,2017 (67),67.3,Coupe,111 g/km,BRILLIANT BLACK,"£21,500"
115,A3,Petrol,1.4L,Automatic,"22,786 miles",4.0,148 bhp,2017 (17),57.7,Saloon,113 g/km,BLACK,"£21,400"
116,Q3,Diesel,2.0L,Manual,"43,648 miles",5.0,148 bhp,2018 (18),61.4,Estate,119 g/km,BLACK,"£21,300"
117,Q3,Diesel,2.0L,Manual,"58,907 miles",5.0,148 bhp,2018 (18),54.3,Estate,138 g/km,WHITE,"£21,300"
118,TT,Petrol,1.8L,Manual,"39,679 miles",2.0,178 bhp,2017 (17),47.1,Coupe,138 g/km,GREY,"£21,300"
119,Q3,Diesel,2.0L,Automatic,"31,587 miles",5.0,148 bhp,2016 (66),51.4,Estate,144 g/km,BLACK,"£21,300"
120,A3,Petrol,1.5L,Manual,"12,470 miles",5.0,148 bhp,2018 (18),54.3,Hatchback,118 g/km,WHITE,"£21,200"
121,Q5,Diesel,2.0L,Automatic,"44,743 miles",5.0,187 bhp,2015 (65),47.1,Estate,157 g/km,BLACK,"£21,200"
